id,org,dept,name,description,Economy,economy_coded
2452,Meridian,Public Works,Wastewater Maintenance & Repair,Preventative scheduled maintenance of all wastewater equipment and buildings at the WRRF and lift stations.  Emergency repair of all malfunctioning wastewater treatment equipment at the WRRF and lift stations.,4,1
21,Roswell,20 - Citywide,Convention and Visitors Bureau,"Rent, insurance, copier, accounting & HR support, audit, janitorial",4,1
45,Roswell,00 - SHARED SERVICE,Alcohol Licensing,"Alcohol License permit request processing including review agenda ahead of board meetings, review prior meeting minutes for accuracy, and participate in Alcoholic Beverage Licensing Board (ABLB) meetings as scheduled. Investigation in support of new alcoholic beverage license applications  Photo document signage requirements for public notice",4,1
62,Roswell,20 - Citywide,Roswell Inc.,Support of Roswell Inc local business and industry support and coordination  organizing and energizing existing business community; workforce and entrepreneurial programs; grow healthcare and social assistance industries;,4,1
94,Roswell,30 - Community Development,Long-Range Planning,"Periodic updates to plans and projects related to mid- to long-term growth and development of the City  Comprehensive Plan, Short Term Work Program (Comp Plan annual project list), Capital Improvement Element, Livable Communities Initiative, impact fees, state mandated, state & fed revenue, Atlanta Regional Commission",4,1
123,Roswell,50 - Fire,"Plan Review, Permitting, & Construction Inspections","Review all building plans, site plans, and development plans with regards to current Fire & Life Safety codes as well as ensuring sufficient fire department vehicle access and water supply.",4,1
146,Roswell,00 - SHARED SERVICE,City produced Community Events,"Community Events initiated by the City of Roswell.  Includes physical set-up and breakdown for special events initiated by the City, including materials, staffing, and trash removal.  Also includes Youth Day Parade, July 4th, End of Summer, Halloween Fun House, Holiday on the Square,  SR Thanksgiving, Riverside Sounds, Roots, Alive in Roswell, Music on the Hill, Food Truck Fridays, Outdoor Movies and other  City Hall special events.",4,1
217,Roswell,70 - Police,Permits & Fingerprinting,"Permitting for Taxi, Liquor Handling,  Fingerprinting, Weapons Discharge & Solicitors Permits",4,1
240,Roswell,80 - Environmental Public Works,Plan Review,"Review of all department ordinance requirements for development, included but not limited to, stormwater, water distribution, and sanitation requirements.  Department support of development thru the DPRT process.",4,1
245,Roswell,80 - Environmental Public Works,"Maintenance and Repair of waterlines, meters, valves, & hydrants.","Maintenance and repair of water supply lines and residential, commercial and irrigation meters.  Location, exercising and repair/ replacement of water distribution system valves.  Repair, maintenance and replacement of hydrants in the water distribution system to ensure public safety (fire protection and safe drinking water/quality).  Includes parts, equipment, tools, machinery, materials for landscape, curb and gutter and pavement repairs.  Includes hydrant flow testing for fire flows, system performance, safety and water model calibration. Includes flushing hydrants, automatic flushing devices, smart hydrants, and waterlines for drinking  water quality purposes.",4,1
272,Roswell,80 - Environmental Public Works,Plan Review,"Review of all department ordinance requirements for development, included but not limited to, stormwater, water distribution, and sanitation requirements.  Department support of development thru the DPRT process.",4,1
293,Roswell,90 - Transportation,Development Plan Review,"Coordination with other City departments to review all developments and redevelopments in conjunction with the City Code, City construction specifications, and the UDC.  Make written comments and prepare conditions; coordination with Zoning; review project plans; provides Transportation comments to developers which results in regulatory compliance on all current applications working with the Department of Community Development.  Explore opportunities for connectivity to enhance local mobility.",4,1
305,Roswell,90 - Transportation,Transportation Master Plan Development and Updating,"Develop, maintain and update the Citys Transportation Master Plan including inclusion of maps and graphics created in-house to document future transportation needs.  Includes analysis of traffic and crash data and updates to the bike/ped inventory and priorities.  Inventory of existing conditions, land use considerations and potential connectivity options.",4,1
309,Roswell,90 - Transportation,Roadway Maintenance,"Maintain all infrastructure within the public right of way such as roads, bridges, retaining walls, sidewalks, guardrails, curb and gutter, drainage systems, utilities, median islands, shoulders, etc.",4,1
314,Roswell,90 - Transportation,Sustainability,"Develop multi-modal transportation facilities that are energy efficiency, enduring, well-designed, and low maintenance  Be a steward of energy efficiency and sustainability for the transportation department and the citys transportation facilities and support well-designed, low maintenance, enduring infrastructure.",4,1
322,Roswell,90 - Transportation,Regional Transportation Planning,"Represent the City as needed for regional planning processed at a variety of state and regional agencies and authorities.  Seek additional funding opportunities and partnerships.  For example, develop projects for submittal to ARC for TIP/RTP inclusion, cost estimates and graphics for City projects for GDOT, and coordination with MARTA for a variety of transit-related projects; Create concepts for bicycle and pedestrian facilities.   Coordinate with other cities and planning agencies and continue to develop and update the North Fulton Comprehensive Transportation Plan (NFCTP).  In addition, development of general maps and graphics for the Director and other Department staff using GIS and other mapping tools.",4,1
352,Roswell,10 - Administration,Economic Development,"Economic Development  - In Community Development, Support of City's economic development-related functions. Staff support of Roswell, Inc., the Downtown Development Authority (DDA), and City staff in economic development activities. Participate in supporting role on Livable Communities Initiative (LCI) Studies, Opportunity Zone applications, implementation of the Strategic Economic Development Plan (SEDP), and identification of development incentives. Staff support of Roswell, Inc., the Downtown Development Authority (DDA), and City staff in economic development activities. Participate in supporting role on Livable Communities Initiative (LCI) Studies, Opportunity Zone applications, implementation of the Strategic Economic Development Plan (SEDP), and identification of development incentives.",4,1
375,Roswell,00 - SHARED SERVICE,Zoning Application Plan Review,"Manage plan reviews of zoning applications and development plans  Staff perform plan reviews of zoning applications and development plans.  Also, route zoning applications and development plans and manage plan review of zoning applications/plans by other divisions and departments  - Engineering, Fire, Tree, Stormwater, Environmental/Public Works, Transportation, and Recreation & Parks.",4,1
386,Roswell,"60 - Recreation, Parks, Historic and Cultural Affairs",Film Permitting,All filming projects  in City facilities and parks  All filming projects  in City facilities and parks,4,1
387,Roswell,00 - SHARED SERVICE,Special Events Permitting and Logistics,"City support/resources expended to support outside special events.  This support is through permitting, coordination with Department resources and organizer .  Road Races, Athletic Tournaments, Waller Park Community Day, Beer festival, Wine festival, Dia de Los Muertos",4,1
389,Roswell,80 - Environmental Public Works,Plan Review,"Review of all department ordinance requirements for development, included but not limited to, stormwater, water distribution, and sanitation requirements.  Department support of development thru the DPRT process.",4,1
391,Roswell,80 - Environmental Public Works,Shared Stormwater,Manage the City's Shared Stormwater Facility Program and Project Funds.  Includes new/amended Memoranda of Agreements  Evaluate and develop new shared stormwater opportunities.,4,1
392,Roswell,80 - Environmental Public Works,Dredging Assistance,"Manage the City's Dredging Assistance Program.  Includes communication with potential applicants (e.g., HOAs and homeowners), recommendations to MCC for funding, and approving reimbursement of approved project funds.  none",4,1
410,Roswell,20 - Citywide,Parking in Downtown Area,"Lease of parking lots in downtown area, parking administration fees from East Alley, etc",4,1
414,Roswell,90 - Transportation,Landscaping Maintenance,"General upkeep of the public ROW including mowing grass, removing debris, dead animal removal, and trimming bushes and trees.",4,1
841,"Salt Lake City, UT",DEPARTMENT OF FINANCE,"Business Licensing: Civil Violations, Nuisance Violations and Licensure","This program is tasked with issuing of civil violations and tracking nuisance violations using proactive enforcement to ensure continued compliance with state and local laws.  It also provides timely responses and resolutions to community concerns in order to ensure the safety and well-being of our citizens.  It insures all businesses obtain a license and promotes the development of commercial enterprises.  It maintains accurate and complete license records and processes new applications.  It insures businesses are properly regulated by verifying compliance with state and local codes.  Finally, it collect business license fees, inspection fees, license taxes and other related fees.",4,1
1185,SouthJordan,Engineering,Building Plan Review,Review and verify that plans for commercial and residential buildings comply with state and international codes. This includes fire plan reviews and AED checks. ,4,1
1195,SouthJordan,Engineering,Capital Improvement Program (CIP),"Plan, prioritize, design, bid, and oversee completion of the City's capital improvement projects, including street maintenance.",4,1
1198,SouthJordan,Engineering,Construction Inspection,Provide construction inspection for all public infrastructure,4,1
1202,SouthJordan,Engineering,Pavement Management,"Inspecting roadways, identify treatment, prioritize and program treatments.",4,1
1216,SouthJordan,Planning,Zoning Administration,Interpret existing land use and development codes generally and as they apply to specific applications and circumstances.,4,1
1219,SouthJordan,Planning,Long Range Planning,"General Plan Administration, including updating various elements of the General Plan and aligning it with the City�s Strategic Priorities. Conduct various planning studies as needed to update and maintain the General Plan. Update and maintain the City Code so that it aligns with the General Plan. Process Land Use Amendment and Rezoning Applications; Provide liaison between the City and other regional and state planning organizations. Maintain and create various internal resources to proper application and administration of the General Plan and City Code.",4,1
1222,SouthJordan,Executive,Business Licensing,Provide Licensing Services for General and Home Occupation Businesses. This includes code compliance and inspection and info center assistance.,4,1
1227,SouthJordan,Executive,Economic Development,Coordinating with developers and businesses to direct growth and sustainability of the City,4,1
1373,SouthJordan,Public Works,"Road, Bridge, and Culvert Maintenance","The City surveys,  tracks, inspects, and repairs alleyways and roads. Bridges and culverts are inspected and repaired in partnership with the State. Graffiti removal is also provided.",4,1
10,UnifiedGov,Police Department,Police Communications,Dispatch center; receives incoming emergency calls and dispatches appropriate/available personnel in a timely manner,4,1
26,UnifiedGov,Police Department,Crimes Against Persons/Proprty,Investigates criminal offenses and works to apprehend offenders in felony cases,4,1
46,UnifiedGov,Public Works,Street Snow Removal,Street maintenance plowing and treatment of all city streets,4,1
61,UnifiedGov,Transit,Fixed Route Service,"Transit service that follows a fixed path, at a set time, day after day. UG Transit owns and operates five such routes within the community.",4,1
63,UnifiedGov,Economic Development,Land Bank,The Land Bank oversees vacant lots acquired through the county tax sales and donations. Putting delinquent tax properties back on the tax roll through various strategies that benefit the community. Through the rehab program properties with abandoned structures are rehabilitated to improve the neighborhoods and increase property values.,4,1
152,UnifiedGov,Public Works,CMIP Engineering/Design Svcs Capital,"Program is responsible for the planning, budgeting, design, construction and monitoring of public infrastructure assets including; streets, curb and gutter, storm drainage, bridges, traffic signal, pavement marking, etc. Without this internal program, all projects would have to contracted out to an engineering firm at nearly triple the cost.",4,1
203,UnifiedGov,Special Community Grants,Wyandotte Economic Development,Support of development agreements for City and County,4,1
214,UnifiedGov,Public Works,Pavement Marking Program,"Painting of street center-lines, curbs and crosswalks.  Also includes installation of thermoplastic for crosswalks",4,1
248,UnifiedGov,Neighborhood Resource Center,Neighborhoood Business and Revitalization (NBR) Program,funding to support Neighborhood Business Revitilization Orginizations in our community. Their are currenlty 8 such orginizations in KCK.,4,1
275,UnifiedGov,Public Works,Traffic-Management,"General management, sign inventory, traffic signal installation",4,1
286,UnifiedGov,Public Works,Planning and Development Review,reviewing new development with input on Public infrastructure.,4,1
287,UnifiedGov,Public Works,Street Preservation-Roadways,Reviewing new development with input on Public infrastructure,4,1
325,UnifiedGov,Public Works,Street Preservation Pothole/Curb Repair,"Pothole Repair, Curb Repair",4,1
332,UnifiedGov,Public Works,Grafitti Removal,Removing or painting over grafitti on road signs and buildings,4,1
336,UnifiedGov,Public Works,Illegal Dumping Debris Removal,Removal of illegally dumped trash and debris,4,1
558,UnifiedGov,Transit,ADA Paratransit,"Federally-mandated complementary paratransit service for ADA certified customers. This service, formally known as Dial-A-Ride in Wyandotte County, is most frequently operated as a curb-to-curb service, meaning that passengers will be picked up or dropped off in front of their requested pickup or drop-off point. This service is operated during the same time as UG Transit Fixed Route service. We also contract with the Kansas City Area Transportation Authority (KCATA) to provide extended evening, weekend and holiday service.",4,1
596,UnifiedGov,Finance Department,Treasurer's Office Program,Oversees the operational functions of the County Treasurer's Office including revenue accounting and investment of idel funds.,4,1
750,UnifiedGov,Finance Department,Property Tax Administration,Collection of property taxes from citizens and the distribution to taxing entities.,4,1
762,UnifiedGov,Urban Planning & Land Use,Current Planning,"Case review for all planning and zoning submissions (commercial building permits, next requests, business license review, zoning, variances, special use permits, historic preservation review, subdivision, vacations, plan review and minor code amendments) and Development Review Committee.

This function is required by various sections KSA 12-100 thru KSA 21-1300 related to communities that have adopted master plans and zoning ordinances.  These are reflected in Chapter 27 of the Municipal Code.  Additionally many times this is the first contact point for persons entering the development process.  The zoning code is currently being rewritten to facilitate better customer service and responsiveness thru innovative zoning techniques and new streamlined procedures.",4,1
763,UnifiedGov,Urban Planning & Land Use,Long Range Planning,"Completes and updates the City-Wide Master Plan, the Sidewalk and Trail Master Plan, and area plans for the City of  Kansas City, Kansas.  Also completes studies such as Historic Preservation inventories, minor projects like the 6th Street Complete Street Plan and Bike/Pedestrian projects funded thru the Mid America Regional Council.  Serves on Mid America Regional Council Technical Forecast and other long range planning committees.  Assists with other long range planning efforts in areas such as Transit, Parks and the CMIP.",4,1
764,UnifiedGov,Urban Planning & Land Use,Engineering,Engineering review for all current planning and zoning cases and Development Review Committee related to new developments (not City or County sponsored infrastructure projects).  The Urban Planning and Land Use Department carries out this function for the County Engineer with the County Engineer's supervision related to technical issues.,4,1
825,UnifiedGov,General Services,Delinquent Tax Sale,"Prepare parcels and hold public auction of parcels that meet the delinquent tax criteria of owing taxes of 3 years or more. The Tax Sale is all about customer service, and staff has worked to improve processes these last few years as well. Buyers now have to speak with Code Enforcement before completing the purchase of their property. SOAR, the Land Bank, and the Appraiser's Office all attend the Tax Sale to provide information as well.",4,1
828,UnifiedGov,Economic Development,Revolving Loan Fund,The Economic Development Administration provided seed funding for small businesses and development. This program is no longer operational but for receiving loan payments for the remaining loan balance.,4,1
834,UnifiedGov,Economic Development,Economic Development Program,"The Economic Development Program provides assistance to businesses that want to locate or expand in Kansas City, Kansas. The local assistance includes: Neighborhood Revitalization Property Tax Rebate, Tax Increment Financing, Industrial Revenue Bonds, Brownfields Assessment Assistance, Sales Tax Revenue Bonds, Community Improvement Districts, Economic Development Exemption, and other tools and incentives as needed.",4,1
838,UnifiedGov,Public Works,Traffic Sign Install/Maint,Street Sign Installation/Repair,4,1
1679,UnifiedGov,Transit,Transit Marketing & Public Info,This fund is used to promote Unified Government Transportation services to the general public.,4,1
1827,UnifiedGov,Community Programs,Downtown Shareholders Contribution,"The Unified Government is tax exempt from paying property taxes on its facilities.  This is a fixed contribution to the Downtown Shareholders Self Supporting Municipal Improvement District (SSMID) that helps support the district for the share of the UG facilities that are within the district.  

Downtown shareholders have a big presence on social media and do a significant amount to market events and news in the community


The Self-Supported Municipal Improvement District (SSMID) is comprised of security and cleaning ambassadors that work tirelessly to make our Downtown as clean, safe and welcoming as possible.",4,1
1852,UnifiedGov,Economic Development,Small Business Program,The Small Business Program works to create a community of thriving local small businesses throughout Wyandotte County by assisting the small business owners in navigating the various departments of the Unified Government. The office helps connect the small business owners with external resource partners. The Small Business Grant is available to eligible small businesses expanding in the community.,4,1
1856,UnifiedGov,Parks & Recreation,Lot Mowing,"Lot mowing of UG, Land Bank, and Tax Delinquent lots.",4,1
1857,UnifiedGov,Parks & Recreation,Property Abatement / Quick Response Trash Team (QRTT),"Teams assigned to do abatement work on properties that are not complying with city code ordinances related to illegal dumping, weeds, mowing.",4,1
1865,UnifiedGov,Urban Planning & Land Use,Zoning Enforcement,"Investigates and enforces the Zoning Code and sign regulations thru Actively producing information guides for business, issuing notices of violation and both administrative and municipal citations.  Monitors online tracking software for short term rentals.  Completes new development inspections for compliance with approved plans.  Works with Code Enforcement to identify solutions to properties with multiple violations across various sections of the Municipal Code.",4,1
1866,UnifiedGov,Transit,Microtransit,"Micro Transit is an affordable ride-hailing transportation option that operates within a predefined service area. Trips will be as direct as possible and may include other riders. Service is operated by professional drivers from Unified Government and all vehicles are wheelchair accessible. The current service boundaries are State Avenue to the north, I-635/42nd St. to the east, Metropolitan Ave./Kansas River to the south, and 72nd to the west. Trips between the service boundaries to Merriam Town Center at Antioch Road and Johnson Drive and 47th and Shawnee Drive are also included.",4,1
1867,UnifiedGov,General Services,"Stabilization, Occupation, and Revitalization (SOAR)","SOAR is a 5-year plan to confront some of the most pervasive challenges in the appearance, communication, and safety of Wyandotte County neighborhoods. It aims to address issues like vacant and abandoned homes, property maintenance, loose dogs, poorly maintained streets, a lack of trails and sidewalks, mowing frequency, graffiti, and more. SOAR also aims to improve government services like communication with the public and resident satisfaction in areas such as perception of safety.",4,1
61,"Washington County, WI",Administration,Business Liaison for County,"Participating in Chamber functions, EDWC and establishing relationships with the business community",4,1
62,"Washington County, WI",Administration,Governmental Affairs - State and Federal Legislative Advocacy,Lobbying efforts for the County through WCA,4,1
63,"Washington County, WI",Administration,Intergovernmental Relations,Establishing relationships and identifying opportunities for collaboration with surrounding Counties and municipalities.  Communicating County initiatives with municipalities and municipal leaders,4,1
816,"Washington County, WI",Register of Deeds,Business Partner Assistance & Queries (a),"Respond to queries from various business partners, including but not limited to attorneys, title companies, mortgage lenders and  real estate agents regarding ownership, legal descriptions, legal forms and  maps and collect fees.  Queries are completed via telephone, in person, email and mail.",4,1
837,"Washington County, WI",Register of Deeds,Business Partner Assistance & Queries (b),"Respond to queries from various business partners, including but not limited attorneys, title companies, mortgage lenders,
real estate agents regarding real estate names, legal descriptions, legal forms, maps, as well as provide copies of said documents,
and collect statutory fees.  Queries are completed via telephone, in person, email and mail.",4,1
838,"Washington County, WI",Register of Deeds,Certified Survey Map Recording,"Accept certified survey maps, review for statutory requirements, receipt statutory fees, index, scan, and file.  Endorse each
document with date, time, county name and consecutive document and map number.",4,1
855,"Washington County, WI",Register of Deeds,"Subdivision, Condominium, Cemetery and Transportation
Project Plat Recording","Accept subdivision, condominium, cemetery and transportation project plats, review for statutory requirements,
receipt statutory fees, index, scan, and file.  Endorse each document with date, time, county name and consecutive
document and map number.",4,1
1067,"Washington County, WI",UW-Extension,Community Economic Development,"Enhances economic vitality through community visioning, demographic analysis and entrepreneurship resources.",4,1
1069,"Washington County, WI",UW-Extension,Nonprofit Organizational Development,Strengthens nonprofit organizations through strategic planning and board development to ensure their success in meeting community needs.,4,1
2,"West Plains, MO",Police,Dispatch Services - Communications,"Dispatch, 9-1-1 Operations, Dispatching Police, Fire, Utilities, to include the processing of calls of service for emergency and non-emergency calls for police, fire, medical calls, call taking and recording of calls into the CAD System.",4,1
3,"West Plains, MO",Police,Traffic Safety Program and Crash Investigations,Investigate traffic crashes and enforce municipal ordinances and state statutes for on and off highway violations.  Education of traffic safety and regulations and the processing and handling of State Traffic Grants for equipment and overtime.,4,1
21,"West Plains, MO",Police,Preventive Patrol,"Attempt to eliminate opportunity for misconduct through police presence in areas of expected crime utilizing different patrol tactics and strategies including preventative police patrol, team policing high visibility and low visibility patrol for the prevention of crime, enforcement of all laws, the arrest and prosecution of criminals and the protection of life and property.  Actively search for wanted individuals.",4,1
427,"West Plains, MO",Planning,Business Retention and Expansion,Work on an ongoing basis with local businesses to help them grow and expand,4,1
448,"West Plains, MO",Planning,Business Attraction,"Promote opportunities for business (commercial/retail) and industry to start, locate, and expand operations within the City. Develop informed messaging that demonstrates why the City would be a prime location for their facility/business and target that messaging to sectors and businesses to assist them in location decisions. Maintain regular contact with prospective companies/businesses; establish the department as a trusted confident and source of relevant and reliable information; liaison between prospective companies/businesses and City departments to facilitate a smooth development process.",4,1
478,"West Plains, MO",Community Services,Special Events,Developing regular festivals and events to draw visitors into town,4,1
574,"West Plains, MO",Community Services,Facility Rentals,"Revenue and expenses associated with rentals of venue space, including add-ons for the space, staffing, and services for events",4,1
702,"West Plains, MO",Public Works,Electric Service Provision,Work necessary to provide electric service to residential and commercial customers and City facilities. Includes electric design and construction for new developments and upgrades for existing customers.,4,1
955,"West Plains, MO",Public Works,Water Service Provision,"Install new water taps for customers, maintain water delivery system.",4,1
958,"West Plains, MO",Community Services,Community Grant Program,Administering grant funds for tourism-related projects and events in the community.,4,1
994,"West Plains, MO",Fire,Rescue Operations,"Rescue people and mitigate a diverse range of technical emergencies including such matters as water/river incidents, entrapment, incidents at heights or below grade, and motor vehicle collisions.
",4,1
1006,"West Plains, MO",Fire,Fire Inspections,Fire inspections for businesses  daycares  homecare facilities  and adult and senior care facilities  fireworks  hospitals  schools  and special events,4,1
1007,"West Plains, MO",Fire,Fire Response,"All management processes, associated fees, fleet, training, equipment for extinguishment and special skills/operations to protect lives and to prevent the destruction of property
",4,1
280,"Beaumont, AB",Utilities,Drinking Water Management Plan,Creating a plan and establishing communication protocol to ensure continued wastewater collection and treatment and maintain regulatory requirements. Includes the completion and submission of required reports to regulatory agency. Inspections at a home or business to verify water and wastewater compliance ,4,1
285,"Beaumont, AB",Utilities,Utility Project Management,"Manage planned and unplanned subsurface repair and replacement projects such as water service lines, hydrants, valves and mains ",4,1
286,"Beaumont, AB",Utilities,Utility Operations,"Resevoirs, pumps, piping, valves and controls associated with the delivery of drinking water into the linear piping system. Inspection and maintenance of sanitary and stormwater lift stations. Ensure the continious control and montioring of all water utility discreet and analog measuments. Includes the assessment and integration of new montioring devices and infrastructure assets within an established control framework. Operation of linear water piping system valves to ensure proper accessability and function. Repair and replace as needed. Periodic flushing on system water lines to maintain and clean the water distribution system to ensure proper chlorine residuals are present in the entire system. On call personnel are ready to respond 24 7 to irregular operations or emergencies in the water system. Samples are collected and sent to qualifies laboratory to verify water quality meets regulatory requirements. ",4,1
287,"Beaumont, AB",Infrastructure,Solid Waste Operations,"Collection of Organics, Recycling and Solid waste from  residential customers and city facilites. Ordering and drop off of collection bins to new residences. Develop and coordinate special events such as large item pickup and the annual Household Hazardous Waste collection event. ",4,1
288,"Beaumont, AB",Utilities,Utility Master Plan,Manage existing water resources and evaluate potential future system demands and growth plans ,4,1
299,"Beaumont, AB",Infrastructure,Life Safety Systems,"Fire systems inspection, maintenance, and repairs",4,1
404,"Beaumont, AB",Planning & Development,Regional/Intermunicipal/Intergovernmental Coordination and Collaboration,Support regional efforts through participation in regional/intermunicipal matters and to advance shared interests with other municipalities and other regional organizations.,4,1
589,"Beaumont, AB",Council,Council Governance,"Through roles and obligations set out in the Municipal Government Act and other legislation, council provides leadership and direction for the City. This includes review and approval of bylaws, policies, programs and budgets that benefit residents and businesses as well as development and review/update of strategic plan providing direction to administration on community priorities. Councillors also represent the City on various boards and committees. ",4,1
594,"Beaumont, AB",Economic Development,Investment Attraction,"Ongoing assessment and review of community investment readiness; competitive advantages, refine/target key markets for investment attraction; engage with site selectors; and, develop foreign direct investment strategy to further expand the community's economic base. ",4,1
598,"Beaumont, AB",Economic Development,Support Regional and Beyond Economic Initiatives,"Actively engaged and involved with organizations that support local regional/economic growth through attracting investment to the City; promoting the City abroad; foster/grow regional clusters/ecosystems and align/support the City's economic development objectives and targets. These include Edmonton Global, E-RIN, etc.",4,1
601,"Beaumont, AB",Economic Development,Strategic Partnership Development / Mgmt,Develop and foster strong mutually beneficial relationships with key strategic partners that can advance the City's strategic objectives. These strategic partnerships tend to have a higher profile (beyond just the local level); higher value (financial or other); and also have a high potential to attract new opportunities to the City. (ie. broadband partners),4,1
645,"Beaumont, AB",Library,Outreach and Relationship Building,"Connecting, collaborating and building relationships with community organizations, City of Beaumont, City Council, regional partners. ",4,1
649,"Beaumont, AB",CAO Office,Community and Stakeholder Relations,"Building and maintaining relationships with community, responding to inquiries/ concerns and communicating with public
about council decisions and priorities.",4,1
656,"Beaumont, AB",Corporate Analytics & Technology,IT - Infrastructure,"The IT - Infrastructure program is responsible for designing, engineering and managing our network and all connected devices. These devices include all servers, switches and data pathways. ",4,1
701,"Beaumont, AB",Infrastructure,Project Master Planning,"Lifecycle planning  and overall Master planning of Infrastruture elements such as utilities, parks and assets ",4,1
702,"Beaumont, AB",Infrastructure,Contract Administration,"Oversee the administration of all City Contracts, including notifying internal contract owners of upcoming contract renewals or expiries, developing contract documents, public posting of competitive bids, notifying parties of bid status and award",4,1
51,"Boise, ID",Airport,Airfield,"The Airfield service group consists of the expenses and associated landing fee revenue collected from the airlines to maintain the airfield (runways, taxiways, and aprons).",4,1
52,"Boise, ID",Airport,Air Service Development & Promotion,The Air Service Development service group consists of the expenses associated with attracting new air service from Boise.,4,1
55,"Boise, ID",Airport,Airport Parking,"The Airport Parking service group consists of the revenue from parking fees and ground transportation and the expense of parking management, maintenance and debt service on the parking garage.",4,1
59,"Boise, ID",Airport,Terminal - Airline/Public Areas,"The Terminal - Airline/Public Areas service group consists of the costs to operate and maintain the airport terminal building and the revenue from terminal space rent, airline rents, and concessions from revenue generated in the terminal based on contract agreements.",4,1
68,"Boise, ID",City Council,City Council,none,4,1
73,"Boise, ID",Contractual Services,VRT: Bus Operations (within City Limits),none,4,1
245,"Boise, ID",Office of the Mayor,Economic Development,Attracts businesses to the community and works with local businesses to ensure success in the area,4,1
374,"Boise, ID",Police,Bike Patrol,"Focuses its efforts on the safety of the Greenbelt, parks, and downtown areas.",4,1
392,"Boise, ID",Police,Patrol Unit,Responds to all emergency and other calls for service in the City.  This unit includes patrol officers as well as community service specialists.,4,1
424,"Boise, ID",Public Works,Water Renewal Facility Maintenance & Asset Mgmt,Municipal wastewater treatment has regulatory and public health requirements. The city reclaims an average of 30 million gallons daily which is then returned to the Boise River from two water renewal facilities. Additional water treatment occurs at the Dixie Drain Phosphorus Removal facility.  The value of these  facilities total  more than 1 billion dollars. This budgetary program includes staff and other costs associated with treatment facility maintenance  plus a comprehensive utility-wide asset management program with database.,4,1
426,"Boise, ID",Public Works,Collections System Maintenance & Rehabilitation,"Ongoing repairs and maintenance to the wastewater collection system including root removal, line cleaning, odor control and rehabilitation of aging sanitary sewer collection infrastructure.",4,1
428,"Boise, ID",Public Works,Water Renewal Facility Operations,"Municipal wastewater treatment has regulatory and public health requirements. The city reclaims an average of 30 million gallons daily which is then returned to the Boise River from two water renewal facilities. Additional water treatment is provided at the Dixie Drain Phosphorus Removal facility.  This budgetary program includes staff, power, chemical, and other costs to operate these facilities.",4,1
430,"Boise, ID",Public Works,Used Water Collection Services,"Municipal wastewater treatment has regulatory and public health requirements. The city  operates and maintains over 930 miles of sewer pipe, 27 liftstations, odor control  and other infrastructure as an average of 30 million gallons daily of used water travels to the water renewal facilities. This budgetary program includes  all costs to successfully operate, monitor and maintain this system including 24/7 response for emergencies.",4,1
71,Duluth,Budget Office,Tourism,Sales tax monies from food and beverage and hotel/motel to be used for tourism and other related activities as dictated by state statutes and city ordinances,4,1
75,Duluth,Planning and Development,"Business Attraction, Retention and Expansion","Staff utilize multiple strategies to attract, retain and expand local businesses including annual BRE (Business Retention & Expansion) Visit Program of one-on-one site visits with local business owners, or convening business interest groups to gain insights to better support specific to our city BRE opportunities for growth. Develop and implement strategies to recruit new businesses and private sector capital investment.",4,1
80,Duluth,Planning and Development,Real Property Acquisition & Ownership,"Staff acquire land and facilities for businesses, housing and mixed-use development projects and maintain, manage, market for sale, and improves real estate as needed. Staff manage multiple leases on DEDA property on an ongoing basis including various public parking lots and the Aviation MRO facility at the airport.",4,1
82,Duluth,Planning and Development,"Branding, Marketing & Communication","The staff market the city and its development opportunities locally, state and nationwide via websites, special events, media ad and branding campaigns.  DEDA staff communicate opportunities and recent development successes.  Staff support multiple websites for DEDA/City business development and special events and also contract with Northspan Group to operate Northland Connection economic development website and Northforce, a Duluth/regional job seeker website.",4,1
85,Duluth,Planning and Development,Brownfield Grant Administration and RLF,"DEDA staff identify underutilized commerical/industrial sites within the city that are polluted with soil and water contaminants (Brownfields) that can be reclaimed (cleaned up) and put back into productive use with assistance of state and federal grants. Manage economic development grant application submissions, implementation, reporting and relationships pertaining to such.",4,1
86,Duluth,Planning and Development,1200 Fund Admin & Support,"PED Staff provide contract management and administration for the non-profit Duluth 1200 Fund. The 1200 Fund's loan programs provide gap financing to support growth of local Duluth businesses when local banks require additional or non-traditional financing. The goal is to increase the number of Duluth businesses, increase job growth, and reestablish use in commercial properties within the City. In 2019, the 1200 Fund created a program to expand childcare spaces in Duluth.",4,1
88,Duluth,Workforce Development,Talent Attraction ,"Develop strategies for attracting, growing and retaining workforce talent in our city by working strategically with economic development partners and undertaking new strategies, securing grant funding, implementing and supporting regional program called Northforce",4,1
90,Duluth,Planning and Development,Economic Development Administration,"Conduct general administration of department such as human resource management, budgeting, billing, invoicing, developing  an annual economic development work plan and implementing. Managing professional service contracts with economic development consultants, architects, real estate appraisers, engineers, financial consultants, attorneys, manage DEDA (Duluth Economic Development Authority Board of 4 citizen appointees and 3 city councilors) and Mayor's Economic Development Coalition monthly meetings (agendas, minutes, resolutions, agreements/contracts, financials, communications, media inquiries, strategy).",4,1
92,Duluth,Planning and Development,Downtown Development,Strategically identify development opportunities and weaknesses related to downtown development and implement action plans to facilitate productive growth. Work with Visit Duluth and other business groups to support Duluth commercial nodes to create special service districts in partnership with interested groups.,4,1
